2007-2008,SA2_2016_A,SA2_2016_1,SA2_2016_2,SA2_2016_3,SA2_2016_4,SA2_2016_5,SA2_2016_6,SA2_2016_7,SA2_2016_8,SA2_2016_9,SA2_201_10,SA2_201_11,SA2_to_GM_,SA2_to_GM1,SA2_OBJECT,SA2_Code,SA2_Region,SA2_Code_t,Shape_Leng,Shape_Area
245.00016345974404,206061136,21136,Prahran - Windsor,20606,Stonnington - West,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2.9054,0,,0,0,,0,0.0764397828369,0.000297349018352
244.89015590455438,206061137,21137,South Yarra - East,20606,Stonnington - West,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2.5172,0,,0,0,,0,0.0754414226313,0.00025767495753
219.01110694812814,206061138,21138,Toorak,20606,Stonnington - West,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,4.3233,0,,0,0,,0,0.0911836089579,0.00044254501282
246.99923988527144,206071139,21139,Abbotsford,20607,Yarra,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,1.7405,0,,0,0,,0,0.0929901190257,0.000178083536704
493.0984478604256,206071140,21140,Carlton North - Princes Hill,20607,Yarra,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2.3042,0,,0,0,,0,0.0617979100528,0.000235665961359
247.02968880352273,206071141,21141,Collingwood,20607,Yarra,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,1.2671,0,,0,0,,0,0.0466128070906,0.000129622211951
247.00388373452915,206071142,21142,Fitzroy,20607,Yarra,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,1.378,0,,0,0,,0,0.0489736643378,0.000140918925984
254.09132459281682,206071143,21143,Fitzroy North,20607,Yarra,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2.5051,0,,0,0,,0,0.0696763876089,0.000256209822131
133.0709015588697,206071144,21144,Richmond (Vic.),20607,Yarra,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,6.2125,0,,0,0,,0,0.124234496045,0.000635743943884
247.05748344370926,206071145,21145,Yarra - North,20607,Yarra,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,5.2089,0,,0,0,,0,0.204316922459,0.000532765414468
226.9881464750183,207011146,21146,Ashburton (Vic.),20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,2.8366,0,,0,0,,0,0.0866233607377,0.000290437033107
220.00017833150935,207011147,21147,Balwyn,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5.585,0,,0,0,,0,0.122595790397,0.000571471987605
220.48883059993244,207011148,21148,Balwyn North,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,8.8491,0,,0,0,,0,0.141002851904,0.000905157909763
227.00038770891922,207011149,21149,Camberwell,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,7.2919,0,,0,0,,0,0.136625260009,0.00074631055407
222.3072694587243,207011150,21150,Glen Iris - East,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5.7049,0,,0,0,,0,0.144583112844,0.000584087661082
156.99627679312255,207011151,21151,Hawthorn,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5.6721,0,,0,0,,0,0.117209685281,0.000580435221475
157.0002807256356,207011152,21152,Hawthorn East,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,3.824,0,,0,0,,0,0.089892172033,0.000391414968195
153.0003762441047,207011153,21153,Kew,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,10.534,0,,0,0,,0,0.237668977109,0.0010776060905
153.6250158375003,207011154,21154,Kew East,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,4.0155,0,,0,0,,0,0.114834709762,0.000410744565225
223.36737291478227,207011155,21155,Surrey Hills (West) - Canterbury,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5.7026,0,,0,0,,0,0.130579424974,0.000583563958784
335.9756729769938,207021156,21156,Bulleen,20702,Manningham - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,6.6711,0,,0,0,,0,0.172628909795,0.000682168904448
335.9017101250356,207021157,21157,Doncaster,20702,Manningham - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,8.7738,0,,0,0,,0,0.150810623732,0.0008974356973
311.89598154529006,207021159,21159,Templestowe,20702,Manningham - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,16.1176,0,,0,0,,0,0.216359299697,0.00164778438748
336.0000056230541,207021160,21160,Templestowe Lower,20702,Manningham - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5.9386,0,,0,0,,0,0.128284805179,0.000607184965155
335.0625741677359,207021424,21424,Doncaster East (North),20702,Manningham - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,6.4029,0,,0,0,,0,0.165091474179,0.00065478879576
335.75238945982875,207021425,21425,Doncaster East (South),20702,Manningham - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,4.7684,0,,0,0,,0,0.102433642212,0.000487783689522
145.0563455920751,207031161,21161,Blackburn,20703,Whitehorse - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,8.6077,0,,0,0,,0,0.141451428528,0.000880710054429
145.00027001642138,207031162,21162,Blackburn South,20703,Whitehorse - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,3.5966,0,,0,0,,0,0.086202387271,0.000368136230501
469.997732522811,207031163,21163,Box Hill,20703,Whitehorse - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,7.012,0,,0,0,,0,0.114853196394,0.00071764268571
469.995048884728,207031164,21164,Box Hill North,20703,Whitehorse - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,6.2087,0,,0,0,,0,0.126681052947,0.000635154719301
469.99782035276866,207031165,21165,Burwood,20703,Whitehorse - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5.0392,0,,0,0,,0,0.113534179688,0.000515838686068
145.0009367946387,207031166,21166,Burwood East,20703,Whitehorse - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,4.263,0,,0,0,,0,0.103781330918,0.000436349500063
469.99981551241456,207031167,21167,Surrey Hills (East) - Mont Albert,20703,Whitehorse - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,3.3279,0,,0,0,,0,0.0794994118668,0.000340559664658
292.0002462359715,208011168,21168,Beaumaris,20801,Bayside,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,5.9678,0,,0,0,,0,0.111205257069,0.000612002036863
249.0001896024511,208011169,21169,Brighton (Vic.),20801,Bayside,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,8.2005,0,,0,0,,0,0.134276459996,0.0008401212883
249.000706005113,208011170,21170,Brighton East,20801,Bayside,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,5.6083,0,,0,0,,0,0.116817684558,0.00057457700843
292.00064794287005,208011171,21171,Cheltenham - Highett (West),20801,Bayside,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,5.3198,0,,0,0,,0,0.111949641569,0.000545335505392
291.999714597102,208011172,21172,Hampton,20801,Bayside,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,5.6846,0,,0,0,,0,0.131847008761,0.000582633303749
292.0,208011173,21173,Sandringham - Black Rock,20801,Bayside,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,6.4301,0,,0,0,,0,0.162121959135,0.000659186777745
314.99999698950427,208021174,21174,Bentleigh - McKinnon,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,6.2242,0,,0,0,,0,0.100319310905,0.000637799201009
