2010-2011,SA2_2016_A,SA2_2016_1,SA2_2016_2,SA2_2016_3,SA2_2016_4,SA2_2016_5,SA2_2016_6,SA2_2016_7,SA2_2016_8,SA2_2016_9,SA2_201_10,SA2_201_11,SA2_to_GM_,SA2_to_GM1,SA2_OBJECT,SA2_Code,SA2_Region,SA2_Code_t,Shape_Leng,Shape_Area
619.9998358471252,206011105,21105,Brunswick,20601,Brunswick - Coburg,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,5.1425,0,,0,0,,0,0.0974692757988,0.000525840051131
620.0000701703543,206011106,21106,Brunswick East,20601,Brunswick - Coburg,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2.168,0,,0,0,,0,0.07517032335,0.000221698437977
621.0451080426433,206011107,21107,Brunswick West,20601,Brunswick - Coburg,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,3.1795,0,,0,0,,0,0.115533346606,0.000325015819151
276.0003415780661,206011108,21108,Coburg,20601,Brunswick - Coburg,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,6.9346,0,,0,0,,0,0.120194234546,0.000708798898389
276.357147181257,206011109,21109,Pascoe Vale South,20601,Brunswick - Coburg,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2.9887,0,,0,0,,0,0.087208155677,0.000305533386294
288.0506688558746,206021110,21110,Alphington - Fairfield,20602,Darebin - South,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2.8853,0,,0,0,,0,0.0832330994166,0.000295047525452
288.0623291735683,206021111,21111,Northcote,20602,Darebin - South,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,6.145,0,,0,0,,0,0.124376917706,0.000628410016716
288.0067275189549,206021112,21112,Thornbury,20602,Darebin - South,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,4.9972,0,,0,0,,0,0.133308893114,0.000510922202742
921.044237008977,206031113,21113,Ascot Vale,20603,Essendon,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,3.8361,0,,0,0,,0,0.122369494506,0.000392305328606
920.7783961842,206031114,21114,Essendon - Aberfeldie,20603,Essendon,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,8.443,0,,0,0,,0,0.169498693424,0.000863163350669
921.0019327758754,206031115,21115,Flemington,20603,Essendon,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,1.5808,0,,0,0,,0,0.0689056720387,0.000161687980884
920.9979371217646,206031116,21116,Moonee Ponds,20603,Essendon,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,4.3551,0,,0,0,,0,0.114523475437,0.000445357164487
2360.9908217285947,206041117,21117,Carlton,20604,Melbourne City,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,1.8185,0,,0,0,,0,0.0625710230433,0.000186005705131
2258.4705167870206,206041118,21118,Docklands,20604,Melbourne City,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2.444,0,,0,0,,0,0.0694885422326,0.00025004788721
2360.9953570079733,206041119,21119,East Melbourne,20604,Melbourne City,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2.8998,0,,0,0,,0,0.0819542507143,0.000296709521092
2360.9954336257842,206041120,21120,Flemington Racecourse,20604,Melbourne City,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,1.7093,0,,0,0,,0,0.0539188907191,0.000174828413915
1871.918234323862,206041121,21121,Kensington (Vic.),20604,Melbourne City,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2.147,0,,0,0,,0,0.0701927689143,0.000219615014302
1804.1678632092874,206041122,21122,Melbourne,20604,Melbourne City,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2.369,0,,0,0,,0,0.0688184645923,0.000242354494069
2184.507149547541,206041123,21123,North Melbourne,20604,Melbourne City,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,3.2492,0,,0,0,,0,0.080468867189,0.000332461417247
2357.9957336709103,206041124,21124,Parkville,20604,Melbourne City,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,4.0492,0,,0,0,,0,0.0928128327037,0.000414110801187
2360.993429260764,206041125,21125,South Yarra - West,20604,Melbourne City,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,1.5027,0,,0,0,,0,0.0651016957711,0.000153761758003
2302.447636720208,206041126,21126,Southbank,20604,Melbourne City,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,3.0743,0,,0,0,,0,0.119583502717,0.000314639888522
2353.0524527300377,206041127,21127,West Melbourne,20604,Melbourne City,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,6.1992,0,,0,0,,0,0.116792027433,0.000634263519691
978.0439383420421,206051128,21128,Albert Park,20605,Port Phillip,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,4.6747,0,,0,0,,0,0.10827201619,0.000478593736249
994.9989007622919,206051129,21129,Elwood,20605,Port Phillip,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2.553,0,,0,0,,0,0.072603270164,0.000261512523715
981.5179735778365,206051130,21130,Port Melbourne,20605,Port Phillip,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2.7894,0,,0,0,,0,0.111623346612,0.000285462745206
1980.527829094574,206051131,21131,Port Melbourne Industrial,20605,Port Phillip,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,6.8694,0,,0,0,,0,0.15993042999,0.000703016637486
978.351951604527,206051132,21132,South Melbourne,20605,Port Phillip,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2.4948,0,,0,0,,0,0.0892878764339,0.000255323889784
994.4606487866088,206051133,21133,St Kilda,20605,Port Phillip,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,3.901,0,,0,0,,0,0.0995212165602,0.000399448709625
994.9975845601875,206051134,21134,St Kilda East,20605,Port Phillip,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2.4135,0,,0,0,,0,0.0815497443168,0.000247094525548
1035.7376857105328,206061135,21135,Armadale,20606,Stonnington - West,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2.1835,0,,0,0,,0,0.0622089602743,0.000223480124871
1695.9996985786534,206061136,21136,Prahran - Windsor,20606,Stonnington - West,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2.9054,0,,0,0,,0,0.0764397828369,0.000297349018352
1694.9113764449446,206061137,21137,South Yarra - East,20606,Stonnington - West,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2.5172,0,,0,0,,0,0.0754414226313,0.00025767495753
1351.0610932369818,206061138,21138,Toorak,20606,Stonnington - West,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,4.3233,0,,0,0,,0,0.0911836089579,0.00044254501282
962.9945354212118,206071139,21139,Abbotsford,20607,Yarra,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,1.7405,0,,0,0,,0,0.0929901190257,0.000178083536704
1517.018473387737,206071140,21140,Carlton North - Princes Hill,20607,Yarra,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2.3042,0,,0,0,,0,0.0617979100528,0.000235665961359
963.0668545119806,206071141,21141,Collingwood,20607,Yarra,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,1.2671,0,,0,0,,0,0.0466128070906,0.000129622211951
963.0087417868513,206071142,21142,Fitzroy,20607,Yarra,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,1.378,0,,0,0,,0,0.0489736643378,0.000140918925984
941.087145965558,206071143,21143,Fitzroy North,20607,Yarra,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2.5051,0,,0,0,,0,0.0696763876089,0.000256209822131
601.6523654671878,206071144,21144,Richmond (Vic.),20607,Yarra,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,6.2125,0,,0,0,,0,0.124234496045,0.000635743943884
962.7180015863614,206071145,21145,Yarra - North,20607,Yarra,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,5.2089,0,,0,0,,0,0.204316922459,0.000532765414468
259.031088612493,207011146,21146,Ashburton (Vic.),20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,2.8366,0,,0,0,,0,0.0866233607377,0.000290437033107
219.00044754427802,207011147,21147,Balwyn,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5.585,0,,0,0,,0,0.122595790397,0.000571471987605
220.9679700523377,207011148,21148,Balwyn North,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,8.8491,0,,0,0,,0,0.141002851904,0.000905157909763
259.00107559214734,207011149,21149,Camberwell,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,7.2919,0,,0,0,,0,0.136625260009,0.00074631055407
255.0532139669102,207011150,21150,Glen Iris - East,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5.7049,0,,0,0,,0,0.144583112844,0.000584087661082
200.1538727386902,207011151,21151,Hawthorn,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5.6721,0,,0,0,,0,0.117209685281,0.000580435221475
200.00031106801595,207011152,21152,Hawthorn East,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,3.824,0,,0,0,,0,0.089892172033,0.000391414968195
153.00288443430009,207011153,21153,Kew,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,10.534,0,,0,0,,0,0.237668977109,0.0010776060905
153.61576848507906,207011154,21154,Kew East,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,4.0155,0,,0,0,,0,0.114834709762,0.000410744565225
238.2413767646632,207011155,21155,Surrey Hills (West) - Canterbury,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5.7026,0,,0,0,,0,0.130579424974,0.000583563958784
685.9018455782033,207021156,21156,Bulleen,20702,Manningham - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,6.6711,0,,0,0,,0,0.172628909795,0.000682168904448
