SA1_7DIGITCODE_2011,EA_11,EA_16,change,Influx_affluent
2110501,48,59,0.22916666666666666,True
2110502,148,155,0.0472972972972973,False
2110503,90,87,-0.03333333333333333,False
2110504,81,92,0.13580246913580246,False
2110505,84,97,0.15476190476190477,False
2110506,107,104,-0.028037383177570093,False
2110507,122,143,0.1721311475409836,False
2110508,96,93,-0.03125,False
2110509,90,122,0.35555555555555557,True
2110510,133,168,0.2631578947368421,True
2110511,254,56,-0.7795275590551181,False
2110512,55,110,1.0,True
2110513,202,91,-0.5495049504950495,False
2110514,107,64,-0.40186915887850466,False
2110515,78,95,0.21794871794871795,True
2110516,58,107,0.8448275862068966,True
2110517,85,102,0.2,True
2110518,81,79,-0.024691358024691357,False
2110519,77,181,1.3506493506493507,True
2110520,65,161,1.476923076923077,True
2110521,120,255,1.125,True
2110522,186,127,-0.3172043010752688,False
2110523,161,110,-0.3167701863354037,False
2110524,118,134,0.13559322033898305,False
2110525,84,51,-0.39285714285714285,False
2110526,98,64,-0.3469387755102041,False
2110527,54,127,1.3518518518518519,True
2110528,63,149,1.3650793650793651,True
2110529,97,127,0.30927835051546393,True
2110530,105,57,-0.45714285714285713,False
2110531,110,94,-0.14545454545454545,False
2110532,44,162,2.6818181818181817,True
2110533,102,191,0.8725490196078431,True
2110534,163,120,-0.26380368098159507,False
2110535,184,153,-0.16847826086956522,False
2110536,102,138,0.35294117647058826,True
2110537,141,113,-0.19858156028368795,False
2110538,140,157,0.12142857142857143,False
2110539,128,158,0.234375,True
2110540,113,126,0.11504424778761062,False
2110541,123,143,0.16260162601626016,False
2110542,102,307,2.0098039215686274,True
2110543,140,58,-0.5857142857142857,False
2110544,240,87,-0.6375,False
2110545,193,80,-0.5854922279792746,False
2110546,81,120,0.48148148148148145,True
2110547,69,109,0.5797101449275363,True
2110548,45,103,1.288888888888889,True
2110549,74,137,0.8513513513513513,True
2110550,111,18,-0.8378378378378378,False
2110601,140,97,-0.30714285714285716,False
2110602,168,84,-0.5,False
2110603,105,97,-0.0761904761904762,False
2110604,139,46,-0.6690647482014388,False
2110605,124,291,1.346774193548387,True
2110606,95,142,0.49473684210526314,True
2110607,115,131,0.1391304347826087,False
2110608,86,339,2.941860465116279,True
2110609,159,204,0.2830188679245283,True
2110610,83,344,3.144578313253012,True
2110611,150,107,-0.2866666666666667,False
2110612,124,84,-0.3225806451612903,False
2110613,93,237,1.5483870967741935,True
2110614,144,97,-0.3263888888888889,False
2110615,113,151,0.336283185840708,True
2110616,84,133,0.5833333333333334,True
2110617,109,154,0.41284403669724773,True
2110618,92,137,0.4891304347826087,True
2110619,67,122,0.8208955223880597,True
2110701,95,175,0.8421052631578947,True
2110702,76,131,0.7236842105263158,True
2110703,112,175,0.5625,True
2110704,82,135,0.6463414634146342,True
2110705,94,106,0.1276595744680851,False
2110706,113,67,-0.40707964601769914,False
2110707,105,129,0.22857142857142856,True
2110708,75,86,0.14666666666666667,False
2110709,160,113,-0.29375,False
2110710,71,89,0.2535211267605634,True
2110711,60,106,0.7666666666666667,True
2110712,112,133,0.1875,True
2110713,70,131,0.8714285714285714,True
2110714,99,93,-0.06060606060606061,False
2110715,68,190,1.7941176470588236,True
2110716,77,72,-0.06493506493506493,False
2110717,60,145,1.4166666666666667,True
2110718,95,116,0.22105263157894736,True
2110719,80,90,0.125,False
2110720,137,94,-0.31386861313868614,False
2110721,96,76,-0.20833333333333334,False
2110722,44,106,1.4090909090909092,True
2110723,75,87,0.16,False
2110724,82,100,0.21951219512195122,True
2110725,70,79,0.12857142857142856,False
2110726,69,148,1.144927536231884,True
2110727,77,98,0.2727272727272727,True
2110728,51,39,-0.23529411764705882,False
2110729,70,75,0.07142857142857142,False
2110730,70,94,0.34285714285714286,True
2110731,106,90,-0.1509433962264151,False
2110801,52,86,0.6538461538461539,True
2110802,57,59,0.03508771929824561,False
2110803,81,58,-0.2839506172839506,False
2110804,58,93,0.603448275862069,True
2110805,71,57,-0.19718309859154928,False
2110806,66,124,0.8787878787878788,True
2110807,76,61,-0.19736842105263158,False
2110808,65,80,0.23076923076923078,True
2110809,91,97,0.06593406593406594,False
2110810,82,69,-0.15853658536585366,False
2110811,59,96,0.6271186440677966,True
2110812,40,100,1.5,True
2110813,69,168,1.434782608695652,True
2110814,79,83,0.05063291139240506,False
2110815,67,109,0.6268656716417911,True
2110816,46,96,1.0869565217391304,True
2110817,33,74,1.2424242424242424,True
2110818,40,47,0.175,False
2110819,100,76,-0.24,False
2110820,83,86,0.03614457831325301,False
2110821,88,74,-0.1590909090909091,False
2110822,158,60,-0.620253164556962,False
2110823,80,37,-0.5375,False
2110824,97,50,-0.4845360824742268,False
2110825,107,116,0.08411214953271028,False
2110826,63,99,0.5714285714285714,True
2110827,54,105,0.9444444444444444,True
2110828,59,169,1.8644067796610169,True
2110829,65,89,0.36923076923076925,True
2110830,49,104,1.1224489795918366,True
2110831,75,128,0.7066666666666667,True
2110832,71,67,-0.056338028169014086,False
2110833,119,79,-0.33613445378151263,False
2110834,55,62,0.12727272727272726,False
2110835,66,71,0.07575757575757576,False
2110836,49,52,0.061224489795918366,False
2110837,46,111,1.4130434782608696,True
2110838,119,87,-0.2689075630252101,False
2110839,54,164,2.037037037037037,True
2110840,39,73,0.8717948717948718,True
2110841,74,81,0.0945945945945946,False
2110842,70,68,-0.02857142857142857,False
2110843,66,50,-0.24242424242424243,False
2110844,80,148,0.85,True
2110845,47,81,0.723404255319149,True
2110846,46,58,0.2608695652173913,True
2110847,43,72,0.6744186046511628,True
2110848,27,90,2.3333333333333335,True
2110849,69,63,-0.08695652173913043,False
2110850,61,94,0.5409836065573771,True
2110851,45,59,0.3111111111111111,True
2110852,53,68,0.2830188679245283,True
2110853,147,78,-0.46938775510204084,False
2110854,59,26,-0.559322033898305,False
2110855,58,83,0.43103448275862066,True
2110856,32,88,1.75,True
2110857,29,42,0.4482758620689655,True
2110858,72,38,-0.4722222222222222,False
2110859,39,176,3.5128205128205128,True
2110860,97,64,-0.3402061855670103,False
2110901,83,74,-0.10843373493975904,False
2110902,59,30,-0.4915254237288136,False
2110903,35,47,0.34285714285714286,True
2110904,63,91,0.4444444444444444,True
2110905,58,49,-0.15517241379310345,False
2110906,85,140,0.6470588235294118,True
2110907,60,94,0.5666666666666667,True
2110908,50,72,0.44,True
2110909,92,57,-0.3804347826086957,False
2110910,48,80,0.6666666666666666,True
2110911,63,67,0.06349206349206349,False
2110912,50,76,0.52,True
2110913,61,72,0.18032786885245902,True
2110914,40,52,0.3,True
2110915,52,109,1.0961538461538463,True
2110916,51,58,0.13725490196078433,False
2110917,64,76,0.1875,True
2110918,74,67,-0.0945945945945946,False
2110919,50,59,0.18,True
2110920,50,51,0.02,False
2110921,38,72,0.8947368421052632,True
2110922,46,61,0.32608695652173914,True
2110923,51,75,0.47058823529411764,True
2110924,24,97,3.0416666666666665,True
2111001,82,58,-0.2926829268292683,False
2111002,96,60,-0.375,False
2111003,98,52,-0.46938775510204084,False
2111004,58,62,0.06896551724137931,False
2111005,44,54,0.22727272727272727,True
2111006,99,41,-0.5858585858585859,False
2111007,111,127,0.14414414414414414,False
2111008,99,108,0.09090909090909091,False
2111009,0,134,0.0,False
2111010,127,62,-0.5118110236220472,False
2111011,60,67,0.11666666666666667,False
2111012,95,126,0.3263157894736842,True
2111013,120,121,0.008333333333333333,False
2111014,69,119,0.7246376811594203,True
2111015,132,0,-1.0,False
2111016,88,141,0.6022727272727273,True
2111017,46,65,0.41304347826086957,True
2111018,91,99,0.08791208791208792,False
2111019,93,135,0.45161290322580644,True
2111020,0,104,0.0,False
2111021,0,134,0.0,False
2111022,84,91,0.08333333333333333,False
2111101,64,50,-0.21875,False
2111102,82,83,0.012195121951219513,False
2111103,223,121,-0.45739910313901344,False
2111104,145,0,-1.0,False
2111105,122,0,-1.0,False
2111106,71,105,0.4788732394366197,True
2111107,131,60,-0.5419847328244275,False
2111108,132,115,-0.12878787878787878,False
2111109,76,228,2.0,True
2111110,119,161,0.35294117647058826,True
2111111,58,130,1.2413793103448276,True
2111112,147,104,-0.2925170068027211,False
2111113,117,134,0.1452991452991453,False
2111114,112,120,0.07142857142857142,False
2111115,78,59,-0.24358974358974358,False
2111116,43,133,2.0930232558139537,True
2111117,66,75,0.13636363636363635,False
2111118,75,155,1.0666666666666667,True
