region_id,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size
2100511,42,1733,752,240,2041,1.0,1916,3.1
2100512,38,1789,522,155,1656,1.3,1107,2.9
2100513,37,1625,562,189,1437,1.1,1536,3.0
2100514,43,1192,516,310,1774,1.1,1772,2.9
2100515,40,1733,583,320,1571,1.1,1485,2.8
2100516,29,1100,555,280,1981,1.0,1578,3.0
2100517,39,1300,596,285,1480,1.1,1321,2.8
2100601,20,458,331,125,704,1.2,613,3.1
2100602,36,1127,546,235,1260,1.1,1149,2.6
2100603,29,1322,626,197,1526,1.0,1305,2.9
2100604,35,1517,641,310,1552,1.0,1387,3.0
2100605,31,1495,672,325,1654,1.0,1546,3.1
2100606,40,1582,547,250,1566,1.1,1210,3.0
2100607,43,1413,529,250,1319,1.0,1312,2.8
2100608,29,1300,594,230,1772,1.0,1109,3.1
2100609,41,1535,482,218,1265,1.0,960,2.4
2100610,49,1700,535,210,1487,1.0,1208,2.7
2100611,42,1142,431,208,1208,1.1,909,2.6
2100612,28,1410,501,236,1101,1.1,1005,2.7
2100613,35,1083,416,145,985,1.1,744,2.2
2100614,37,1083,459,210,885,1.1,825,2.1
2100701,35,1692,628,0,1660,1.1,1550,3.1
2100702,43,1658,651,0,1812,1.0,1602,3.1
2100703,36,1674,514,204,1341,1.1,916,2.7
2100704,42,1304,474,0,1101,1.1,1184,2.9
2100705,39,1700,525,0,1426,1.1,1267,3.0
2100706,35,1733,608,325,1558,1.1,1346,2.9
2100707,40,1667,558,235,1411,1.2,1398,3.1
2100708,38,1517,577,270,1656,1.2,1546,3.1
2100709,41,1654,554,240,1515,1.1,1212,3.4
2100801,23,759,329,135,572,1.2,533,2.8
2100802,40,1517,522,230,2068,1.1,1750,3.3
2100803,29,1330,601,260,1322,1.1,1114,2.3
2100804,32,863,375,169,823,1.0,758,2.3
2100805,38,607,344,117,612,1.1,473,2.0
2100806,33,845,347,140,653,1.1,630,2.6
2100807,44,1083,396,158,824,1.0,674,1.9
2100808,86,0,700,0,0,0,0,0
2100809,41,1205,470,220,1152,1.1,931,2.1
2100810,43,1083,530,190,1268,1.1,1053,2.6
2100811,34,1127,414,213,1021,1.1,1042,3.1
2100812,46,1040,451,190,843,1.1,700,2.0
2100813,41,1300,451,171,875,1.1,685,2.1
2100814,0,0,0,0,0,0,0,0
2100815,34,953,380,138,749,1.2,711,2.3
2100816,45,1331,592,245,1328,1.1,1402,2.8
2100817,39,1300,657,200,1447,1.2,1428,2.5
2100818,31,1300,666,250,1515,1.1,1455,3.3
2100819,29,1733,760,310,1665,1.0,1542,2.6
2100820,34,1210,505,160,1116,1.1,815,2.1
2100821,43,1257,411,180,894,1.1,731,2.2
2100822,49,740,394,145,900,1.2,709,1.9
2100823,44,1170,389,220,825,1.1,770,2.2
2100824,65,750,436,193,900,1.1,654,1.9
2100825,17,0,74,90,1949,1.1,675,1.9
2100826,50,1083,460,190,933,1.0,703,2.1
2100827,50,953,436,220,853,1.1,691,1.9
2100828,46,1302,472,189,942,1.0,793,2.0
2100829,46,1099,447,180,809,1.1,747,2.0
2100830,46,1798,412,220,1107,1.1,850,2.3
2100831,40,1300,439,215,960,1.0,871,2.2
2100832,35,1127,327,135,677,1.1,611,2.5
2100833,35,1300,434,185,957,1.1,838,2.5
2100834,44,1192,453,188,907,1.1,869,2.3
2100835,32,1343,628,245,1583,1.1,1600,3.0
2100901,36,1408,488,200,1280,1.1,1075,2.6
2100902,43,1517,623,11,1416,1.1,1154,2.8
2100903,38,1647,587,226,1586,1.1,1480,3.0
2100904,39,1690,693,150,1856,1.1,1550,2.9
2100905,45,1230,445,150,1278,1.1,785,2.0
2100906,42,1777,476,63,1558,1.2,1218,3.0
2100907,45,1827,585,150,1525,1.1,1446,2.4
2100908,47,2383,613,0,1263,1.1,1262,2.9
2100909,42,1300,551,100,1329,1.1,1287,2.8
2100910,47,1600,579,231,1286,1.1,1270,2.7
2100911,40,2162,539,165,1521,1.1,1199,3.0
2100912,38,1300,462,150,1420,1.1,1160,2.6
2100913,47,1170,446,285,1199,1.0,1216,2.6
2100914,38,1000,404,205,1091,1.1,908,2.4
2100915,44,1690,433,113,875,1.2,786,2.4
2100916,47,1170,452,210,1014,1.0,681,2.3
2100917,41,2000,567,160,1439,1.1,1404,3.0
2101001,38,1538,580,130,1442,1.1,1257,2.8
2101002,39,1068,392,150,1014,1.1,844,2.6
2101003,43,1000,506,203,1201,1.1,778,2.3
2101004,41,1430,392,160,1153,1.1,792,2.3
2101005,67,975,363,155,1042,1.1,724,2.0
2101006,43,1400,573,245,1375,1.1,987,2.4
2101007,42,1322,539,140,1320,1.1,1404,2.9
2101008,39,1263,456,216,994,1.2,873,2.8
2101009,42,1365,663,80,1575,1.1,1395,2.6
2101010,48,1079,485,130,1062,1.1,831,2.2
2101011,50,1495,419,110,1125,1.1,1008,2.5
2101012,50,956,375,101,880,1.1,605,2.0
2101013,40,1026,428,200,956,1.1,771,2.3
2101014,49,1652,446,175,886,1.1,831,2.4
2101015,47,975,484,165,1267,1.1,1083,2.4
2101016,49,1034,496,150,1125,1.0,854,2.2
2101017,43,1250,552,200,1350,1.1,1125,2.8
2101018,46,1400,542,0,1375,1.1,1237,2.8
2101019,50,1000,369,155,825,1.1,730,2.4
2101020,48,1193,449,93,1193,1.0,788,2.1
2101021,47,1551,471,170,945,1.0,820,2.2
2101101,44,867,507,235,1156,1.1,890,2.4
2101102,53,402,492,277,1399,1.2,1208,2.2
2101103,47,1241,392,155,1147,1.1,883,2.6
2101104,49,1484,397,131,1357,1.0,891,2.4
2101105,50,1257,345,23,781,1.0,669,2.3
2101106,45,1283,425,245,1260,1.1,919,2.3
2101107,41,1565,471,200,1091,1.2,889,2.4
2101108,54,2167,437,220,1224,1.0,633,2.0
2101109,49,867,384,142,1221,1.1,791,2.1
2101110,48,1725,494,220,1233,1.1,1100,2.4
2101111,44,1289,423,200,870,1.1,770,2.1
2101112,49,1000,469,240,949,1.0,786,2.0
2101113,41,1300,511,250,1113,1.1,871,2.4
2101114,40,979,470,225,1012,1.1,769,2.2
2101115,54,1517,444,200,962,1.1,652,1.9
2101116,51,1455,470,190,1055,1.0,738,1.8
2101117,43,1192,460,165,1163,1.1,822,2.2
2101118,51,1213,483,220,1025,1.1,806,2.0
2101119,50,1311,440,130,1135,1.1,840,2.3
2101120,43,1600,411,138,935,1.2,871,2.3
2101121,43,1192,475,240,916,1.1,900,2.4
2101122,48,1609,526,100,1350,1.1,915,2.2
2101123,52,1300,500,130,1152,1.1,927,2.3
2101124,50,1300,535,0,958,1.2,928,2.5
2101125,47,1700,493,169,1437,1.1,959,2.3
2101201,45,1700,469,147,1194,1.1,893,2.5
2101202,40,1525,715,0,1517,1.1,1516,2.4
2101203,42,1300,551,250,1266,1.0,1226,2.7
2101204,46,1200,542,210,990,1.1,1297,2.5
2101205,41,1300,503,200,1452,1.1,1116,2.6
2101206,37,1745,655,245,1671,1.1,1481,2.9
2101207,46,2080,517,150,1481,1.0,1218,2.6
2101208,43,1240,424,133,1204,1.1,1053,2.7
2101209,42,1517,539,215,1269,1.2,1239,2.8
2101210,40,1127,539,240,1257,1.0,1187,2.6
2101211,47,1403,428,150,884,1.1,911,2.4
2101212,44,1441,539,140,1275,1.1,1416,2.4
2101213,39,1550,543,190,1583,1.1,1212,2.6
2101214,43,1387,481,260,1437,1.2,1031,2.5
2101215,43,1207,524,122,1025,1.1,949,2.2
2101216,42,1300,475,350,1262,1.1,1114,2.6
2101217,45,1517,459,200,1428,1.0,1231,2.7
2101301,43,988,383,140,875,1.1,596,2.1
2101302,48,1129,344,115,694,1.1,704,2.3
2101303,51,600,429,0,1036,1.0,754,2.3
2101304,50,1073,375,85,785,1.1,654,2.3
2101305,53,672,357,100,759,1.1,675,2.2
2101306,56,823,351,130,620,1.1,557,2.2
2101307,44,700,384,150,1014,1.1,589,2.3
2101308,45,1083,410,120,1108,1.1,957,2.4
2101309,48,932,368,39,1062,1.1,747,2.3
2101310,51,585,374,200,810,1.2,627,2.3
2101401,52,867,426,162,884,1.1,592,2.0
2101402,57,945,377,131,850,1.0,609,2.0
2101403,47,975,384,0,1067,1.1,810,2.6
2101404,48,758,418,130,1018,1.1,747,2.1
2101405,44,1441,519,0,1337,1.1,938,2.5
2101406,43,1250,460,100,900,1.0,909,2.7
2101407,47,763,369,75,1027,1.1,828,2.4
2101408,46,1100,501,138,1158,1.1,1103,2.7
2101409,48,1083,431,165,1062,1.2,658,2.1
2101410,44,1235,356,100,774,1.0,900,2.2
2101411,44,1112,373,185,880,1.2,769,2.3
2101412,47,867,375,175,890,1.0,661,2.0
2101413,39,0,283,0,700,1.0,2250,4.0
2101501,41,1582,569,228,1651,1.0,1382,3.0
2101502,41,1300,446,150,1325,1.1,1125,2.8
2101503,40,1213,580,200,1375,1.1,1327,3.0
2101504,52,1450,469,105,1125,1.1,824,2.3
2101505,52,1000,368,111,778,1.1,690,2.1
2101506,45,861,377,140,907,1.1,731,2.1
2101507,41,1083,471,148,1197,1.1,900,2.5
2101508,39,1083,403,110,988,1.1,969,2.7
2101509,39,1580,478,270,1111,1.1,930,2.6
2101510,44,894,397,0,1125,1.1,933,2.5
2101511,40,1083,472,170,1012,1.1,1009,2.4
2101512,33,1300,467,130,1017,1.1,937,2.5
2101601,46,842,330,160,790,1.1,593,2.3
2101602,55,906,359,157,747,1.1,580,1.9
2101603,46,888,387,180,856,1.2,810,2.2
2101604,41,824,373,160,818,1.1,628,2.3
2101605,40,542,324,150,591,1.1,496,2.2
2101606,45,910,353,110,792,1.1,686,2.2
2101607,48,1185,403,145,700,1.0,656,2.3
2101608,45,693,430,180,937,1.0,720,2.1
2101609,44,810,374,155,805,1.1,582,2.1
2101610,42,867,410,170,806,1.1,664,2.0
2101611,53,802,403,150,937,1.1,861,2.4
2101612,43,1083,464,170,1062,1.1,865,2.5
2101613,58,1083,377,164,778,1.1,668,2.1
2101614,42,1170,389,155,1034,1.1,866,2.6
2101615,63,531,376,170,855,1.1,417,1.7
2101616,50,1083,405,170,1044,1.0,771,2.0
2101617,47,867,455,178,843,1.1,664,2.0
2101618,46,1300,455,185,877,1.0,574,1.8
2101619,44,975,387,188,828,1.1,684,2.1
2101620,46,1300,412,135,1125,1.1,805,2.3
2101621,43,1018,403,162,942,1.1,905,2.8
2101701,51,704,333,143,754,1.1,497,2.1
2101702,41,867,489,163,1333,1.1,1024,2.9
2101703,46,1127,382,150,814,1.0,688,2.2
2101704,51,368,330,75,789,1.1,665,2.4
2101705,59,780,344,102,726,1.0,534,1.8
2101706,45,694,427,100,946,1.1,806,2.3
2101707,48,878,374,30,949,1.2,825,2.5
2101708,50,1083,351,78,875,1.1,547,2.0
2101709,48,1300,433,205,881,1.2,852,2.6
2101710,47,867,392,180,918,1.1,731,2.4
2101711,49,800,383,140,974,1.0,820,2.4
2101712,51,1300,339,162,812,1.1,660,2.3
2101713,53,641,358,120,808,1.1,608,2.0
2101714,51,953,378,145,1008,1.1,850,2.4
2101715,47,1100,351,200,949,1.0,758,2.4
2101801,30,867,377,180,754,1.1,683,2.3
2101802,33,1170,627,210,1212,1.1,1008,2.2
2101803,38,1181,521,190,1108,1.1,890,2.2
2101804,78,631,171,195,1287,1.1,949,2.2
2101805,46,867,500,200,1125,1.1,958,2.3
2101806,50,1062,477,190,1036,1.0,984,2.1
2101807,38,1083,463,230,963,1.1,854,2.3
2101808,30,800,457,180,1279,1.2,872,2.7
2101809,31,1400,570,223,1235,1.1,940,2.1
2101810,37,1921,526,210,1286,1.1,780,2.0
2101811,38,1000,364,103,880,1.1,576,2.2
2101812,23,477,340,149,644,1.1,627,2.6
2101813,36,1353,546,215,1178,1.1,985,2.1
2101814,34,997,581,225,1347,1.2,982,2.4
2101815,40,1350,607,220,1602,1.0,900,2.0
2101816,43,1083,690,200,2521,1.0,1355,2.1
2101817,37,975,440,195,880,1.1,749,2.2
2101818,44,1150,386,175,776,1.1,681,2.1
2101819,46,910,390,230,722,1.0,768,2.4
2101820,52,802,462,170,1041,1.1,572,1.9
2101821,43,2167,774,190,1625,1.1,1517,2.2
