region_id,B6863,B6864,B6865,B6866,B6867,B6868,B6869,B6870,B6871,B6872,B6873,B6874,B6875,B6876,B6877,B6878,B6879,B6880,B6881,B6882,B6883,B6884,B6885,B6886,B6887,B6888,B6889,B6890,B6891,B6892,B6893,B6894,B6895,B6896,B6897,B6898,B6899,B6900,B6901,B6902,B6903,B6904,B6905,B6906,B6907,B6908,B6909,B6910,B6911,B6912,B6913,B6914,B6915,B6916,B6917,B6918,B6919,B6920,B6921,B6922,B6923,B6924,B6925,B6926,B6927,B6928,B6929,B6930,B6931,B6932,B6933,B6934,B6935,B6936,B6937,B6938,B6939,B6940,B6941,B6942,B6943,B6944,B6945,B6946,B6947,B6948,B6949,B6950,B6951,B6952,B6953,B6954,B6955,B6956,B6957,B6958,B6959,B6960,B6961,B6962,B6963,B6964,B6965,B6966,B6967,B6968,B6969,B6970,B6971,B6972,B6973,B6974,B6975,B6976,B6977,B6978,B6979,B6980,B6981,B6982,B6983,B6984,B6985,B6986,B6987,B6988,B6989,B6990,B6991,B6992,B6993,B6994,B6995,B6996,B6997,B6998,B6999,B7000,B7001,B7002,B7003,B7004,B7005,B7006,B7007,B7008,B7009,B7010,B7011,B7012,B7013,B7014,B7015,B7016,B7017,B7018,B7019,B7020,B7021,B7022,B7023,B7024,B7025,B7026,B7027,B7028,B7029,B7030,B7031,B7032,B7033,B7034,B7035,B7036,B7037,B7038,B7039,B7040,B7041,B7042,B7043,B7044,B7045,B7046,B7047,B7048,B7049,B7050,B7051,B7052,B7053,B7054,B7055,B7056,B7057,B7058,B7059,B7060,B7061,B7062
2050302,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,3,0,4,0,0,3,0,3,0,13,15,8,7,0,0,0,0,3,0,33,13,0,3,0,0,3,7,3,0,29,7,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,8,21,0,0,9,7,12,0,95,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,8,0,0,0,0,20,12,9,0,7,0,0,0,0,0,28,7,0,0,0,0,0,0,6,0,13,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,17,0,7,8,0,0,11,0,73
2050303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,8,12,0,0,0,0,0,0,0,0,12,11,0,4,0,0,0,4,0,3,22,9,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,4,0,0,3,4,8,3,54,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,3,6,3,0,3,0,0,0,0,15,3,0,0,0,10,0,0,0,0,13,3,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,6,6,13,0,0,0,0,46
2050304,0,0,0,0,0,0,3,3,0,6,0,0,3,0,0,0,0,5,0,8,0,0,5,0,0,0,5,4,0,14,3,0,12,0,3,0,5,3,0,26,5,6,9,4,4,3,3,5,0,39,10,5,0,0,0,0,4,4,0,23,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,29,4,7,3,20,24,0,121,0,0,0,5,3,0,0,0,0,8,0,0,0,0,3,3,0,0,0,6,5,0,0,4,4,0,0,0,0,13,5,5,0,7,3,0,0,8,0,28,8,15,0,8,5,0,0,6,0,42,4,4,0,11,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,24,0,35,18,3,0,14,0,116
2050306,0,0,4,0,0,0,0,10,0,14,0,0,0,0,0,0,0,3,0,3,4,3,7,0,0,0,0,8,0,22,0,0,4,3,3,3,5,9,0,27,10,5,5,3,3,0,6,0,0,32,13,3,3,3,3,3,3,3,0,34,0,0,5,0,3,3,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,11,28,9,12,9,14,36,0,146,0,0,0,4,0,7,0,0,0,11,0,5,0,0,0,3,0,0,0,8,0,5,0,7,0,5,0,4,0,21,0,0,8,4,5,3,5,0,0,25,5,4,0,3,10,0,0,6,0,28,0,6,0,0,10,0,0,5,4,25,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,8,18,25,18,5,18,4,121
2050307,0,0,0,0,0,0,0,8,0,8,0,0,9,0,0,0,0,0,0,9,0,0,3,0,0,0,4,7,0,14,4,7,6,0,0,0,0,0,0,17,7,0,3,3,0,10,6,4,0,33,6,0,3,5,0,0,6,0,0,20,4,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7,28,8,0,10,16,19,0,109,0,0,0,0,0,0,0,6,0,6,3,7,0,0,0,0,0,0,0,10,3,6,0,0,0,0,0,0,0,9,3,3,3,3,3,8,0,0,0,23,3,0,3,5,10,4,0,10,0,35,3,0,0,0,5,0,0,0,6,14,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,6,8,18,12,0,20,6,101
2050308,0,0,0,5,0,0,0,3,0,8,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,6,0,3,0,0,0,3,3,0,15,5,3,3,0,0,0,0,3,0,14,13,0,3,0,0,0,0,3,0,19,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6,9,5,0,0,3,15,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,3,0,0,0,6,0,3,0,12,5,3,0,0,3,0,0,0,0,11,8,7,0,3,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,3,12,6,0,3,0,50
2050401,0,0,3,0,0,0,0,7,0,10,0,0,3,0,0,0,0,4,0,7,8,0,0,0,0,0,4,0,0,12,10,4,3,0,0,0,6,0,0,23,12,4,11,0,0,0,8,0,0,35,19,0,0,0,0,0,0,7,0,26,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,49,8,23,0,0,0,18,18,0,116,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,3,9,5,11,0,0,0,0,0,0,0,16,4,5,3,0,0,0,0,9,5,26,3,3,0,7,7,0,0,0,0,20,5,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,20,19,6,7,7,6,0,9,8,82
2050402,0,0,4,0,0,0,0,3,0,7,0,0,0,0,0,0,0,4,0,4,0,0,3,0,0,0,3,5,0,11,6,3,3,3,3,0,3,3,0,24,15,6,5,0,0,0,3,7,0,36,23,0,5,0,0,0,6,3,0,37,0,4,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,47,13,20,3,3,0,18,25,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,4,3,0,0,0,0,16,4,6,0,3,0,0,0,0,0,13,4,9,0,6,8,7,0,0,0,34,11,0,0,3,3,0,0,5,0,22,4,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,31,18,3,16,14,7,0,8,0,97
2050403,4,0,5,0,0,0,0,3,0,12,6,0,6,0,0,0,0,0,0,12,5,0,4,0,0,0,0,5,0,14,5,0,9,4,0,0,0,3,5,26,16,6,5,3,0,0,11,3,0,44,8,3,4,0,3,4,5,7,0,34,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,9,33,7,3,4,16,21,5,149,0,0,0,4,0,5,0,0,0,9,0,4,0,0,0,0,0,4,0,8,3,0,0,5,3,0,0,0,0,11,3,4,3,3,3,7,0,4,0,27,3,11,4,3,13,6,0,4,0,44,7,4,0,0,8,0,0,0,0,19,3,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,26,7,15,27,18,0,12,0,124
2050405,0,0,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,4,0,8,0,0,0,0,0,3,3,3,0,9,0,6,0,3,0,3,3,3,0,18,4,5,3,3,0,0,0,3,0,18,4,4,3,0,3,3,3,0,0,20,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,10,6,3,15,9,13,0,79,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,7,0,0,0,10,6,3,0,3,0,22,0,8,0,7,4,3,0,4,0,26,3,9,3,3,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,3,20,13,6,0,7,0,81
