SA2_MAINCODE_2011,2016_1,2016_2,2016_3,2016_4,2016_5,2016_6,2016_7,2016_8,2016_9,2016_10,2016_11,2016_12,mean_2016
206011105,750000.0,780000.0,770000.0,750000.0,720000.0,730000.0,720000.0,750000.0,750000.0,750000.0,743562.5,780000.0,749463.5416666666
206011106,780000.0,799750.0,799750.0,775000.0,750000.0,750000.0,750000.0,780000.0,800000.0,780000.0,760000.0,800000.0,777041.6666666666
206011107,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,705000.0,700000.0,700000.0,700000.0,700000.0,730000.0,702916.6666666666
206011108,673313.0,700000.0,690000.0,671656.5,650000.0,650000.0,650000.0,680000.0,680000.0,680000.0,665000.0,700000.0,674164.125
206011109,690000.0,700000.0,695000.0,680000.0,660000.0,670000.0,670000.0,677500.0,695000.0,690000.0,680000.0,722500.0,685833.3333333334
206021110,1000000.0,1048688.0,1050000.0,1000000.0,850000.0,910000.0,900000.0,981041.5,1050000.0,1048688.0,997500.0,1000000.0,986326.4583333334
206021111,825000.0,900000.0,890000.0,820000.0,798000.0,800000.0,800000.0,800000.0,875000.0,860428.5,800000.0,900000.0,839035.7083333334
206021112,780000.0,790000.0,790000.0,780000.0,750000.0,770000.0,755000.0,780000.0,790000.0,790000.0,780000.0,795000.0,779166.6666666666
206031113,835000.0,870000.0,850000.0,815000.0,780000.0,805000.0,800000.0,820000.0,850000.0,850000.0,832500.0,887500.0,832916.6666666666
206031114,870000.0,999500.0,940000.0,870000.0,850000.0,870000.0,870000.0,880000.0,900000.0,875000.0,885000.0,1000000.0,900791.6666666666
206031115,710000.0,783038.0,780000.0,700000.0,670000.0,700000.0,680000.0,700000.0,775000.0,730000.0,700000.0,790000.0,726503.1666666666
206031116,850000.0,897750.0,850000.0,843937.5,800000.0,800000.0,800000.0,835000.0,848937.5,825000.0,820000.0,900000.0,839218.75
206041117,800000.0,900000.0,810000.0,800000.0,725000.0,738000.0,738000.0,799000.0,850000.0,800000.0,780000.0,875000.0,801250.0
206041118,1450000.0,1105000.0,1252500.0,1655000.0,1140000.0,1140000.0,1140000.0,1175000.0,1252500.0,1105000.0,1140000.0,900000.0,1204583.3333333333
206041119,1940000.0,2137500.0,1950000.0,1900000.0,1900000.0,1980000.0,1900000.0,1980000.0,1900000.0,1700000.0,1990000.0,2000000.0,1939791.6666666667
206041120,745831.1272727273,780244.0109090909,768180.6254545455,738541.2090909091,688673.8706493507,706700.8706493507,696481.577922078,730966.2579220779,761952.8436363636,751185.1363636364,721249.5251948052,786332.2381818182,739694.9411038961
206041121,700000.0,775000.0,770000.0,700000.0,680000.0,700000.0,690000.0,700000.0,740000.0,705000.0,700000.0,780000.0,720000.0
206041122,500000.0,412500.0,457500.0,490000.0,384500.0,390000.0,347500.0,425000.0,492500.0,492500.0,400000.0,498750.0,440895.8333333333
206041123,800000.0,899950.0,845000.0,790000.0,765000.0,780000.0,780000.0,790000.0,830000.0,830000.0,790000.0,897750.0,816475.0
206041124,1125000.0,1300000.0,1297500.0,1125000.0,1125000.0,1025000.0,1025000.0,1125000.0,1300000.0,1175000.0,1050000.0,1300000.0,1164375.0
206041125,2180000.0,2500000.0,2215000.0,2090000.0,2180000.0,1892500.0,2180000.0,2215000.0,2215000.0,2090000.0,2000000.0,2500000.0,2188125.0
206041126,572000.0,500000.0,527500.0,575000.0,596256.5,593513.0,595000.0,572500.0,575000.0,519000.0,584256.5,530000.0,561668.8333333334
206041127,745831.1272727273,780244.0109090909,768180.6254545455,738541.2090909091,688673.8706493507,706700.8706493507,696481.577922078,730966.2579220779,761952.8436363636,751185.1363636364,721249.5251948052,786332.2381818182,739694.9411038961
206051128,1797813.0,1762500.0,1762500.0,1797813.0,1572500.0,1695000.0,1600000.0,1695000.0,1895000.0,1895000.0,1650000.0,1750000.0,1739427.1666666667
206051129,1125000.0,1450000.0,1375000.0,1100000.0,1100000.0,1100000.0,1050000.0,1100000.0,1300000.0,1150000.0,1100000.0,1425000.0,1197916.6666666667
