SA2_MAINCODE_2011,2006_1,2006_2,2006_3,2006_4,2006_5,2006_6,2006_7,2006_8,2006_9,2006_10,2006_11,2006_12,mean_2006
207011147,800000.0,800000.0,800000.0,800000.0,805000.0,799000.0,800000.0,799500.0,795000.0,800000.0,800000.0,795000.0,799458.3333333334
207011148,625000.0,689500.0,670000.0,675000.0,632500.0,600000.0,607500.0,600000.0,680000.0,650000.0,650000.0,690000.0,647458.3333333334
207011149,695000.0,747500.0,747500.0,757500.0,695000.0,700000.0,695000.0,697500.0,761250.0,700000.0,707500.0,730000.0,719479.1666666666
207011150,658750.0,700000.0,670000.0,675000.0,670000.0,670000.0,670000.0,670000.0,692500.0,670000.0,670000.0,700000.0,676354.1666666666
207011151,710000.0,650000.0,675000.0,685000.0,699500.0,692000.0,700000.0,676500.0,662500.0,681500.0,678000.0,655000.0,680416.6666666666
207011152,655000.0,700000.0,675000.0,677500.0,670000.0,660000.0,677500.0,650000.0,699000.0,657500.0,660000.0,675000.0,671375.0
207011153,792000.0,750000.0,765000.0,765000.0,785000.0,797000.0,814500.0,785000.0,762500.0,780000.0,769500.0,750000.0,776291.6666666666
207011154,615000.0,650000.0,668500.0,670000.0,610000.0,610000.0,610000.0,610000.0,670000.0,615000.0,667000.0,670000.0,638791.6666666666
207011155,824750.0,913000.0,850000.0,875000.0,820000.0,804500.0,820000.0,800000.0,934750.0,875000.0,875000.0,925000.0,859750.0
207021156,426500.0,482500.0,437500.0,437500.0,428000.0,428000.0,426500.0,430000.0,445500.0,430000.0,432500.0,450000.0,437875.0
207021157,457000.0,460000.0,460000.0,459000.0,463750.0,460000.0,459500.0,450000.0,450000.0,455000.0,455000.0,460000.0,457437.5
207021158,450000.0,470000.0,460000.0,460000.0,450000.0,429000.0,440000.0,430000.0,460000.0,450000.0,460000.0,470000.0,452416.6666666667
207021159,580000.0,585000.0,600000.0,599000.0,590000.0,565000.0,579500.0,566250.0,595000.0,600000.0,599500.0,590000.0,587437.5
207021160,437375.0,475000.0,450000.0,450000.0,450000.0,430000.0,432500.0,430000.0,454500.0,440000.0,450000.0,462500.0,446822.9166666667
207031161,410000.0,407000.0,402500.0,407000.0,407000.0,402500.0,409500.0,400000.0,400000.0,405000.0,409000.0,400000.0,404958.3333333333
207031162,380000.0,388750.0,382500.0,385000.0,379000.0,380000.0,380000.0,379975.0,386750.0,379500.0,380000.0,389000.0,382539.5833333333
207031163,400000.0,410000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400833.3333333333
207031164,430250.0,450000.0,425000.0,450000.0,425000.0,440000.0,439500.0,440000.0,447500.0,420000.0,425000.0,450000.0,436854.1666666667
207031165,450000.0,449500.0,450000.0,450000.0,450000.0,449000.0,449500.0,450000.0,450000.0,450000.0,450000.0,449500.0,449791.6666666667
207031166,389000.0,380000.0,380000.0,380000.0,389000.0,380000.0,389475.0,377500.0,380000.0,382500.0,380000.0,380000.0,382289.5833333333
207031167,590000.0,629500.0,587500.0,590000.0,594500.0,580000.0,590000.0,582250.0,594500.0,590000.0,585000.0,590000.0,591937.5
208011168,700000.0,780000.0,740000.0,742500.0,721500.0,690000.0,695000.0,690000.0,760000.0,718250.0,721500.0,770000.0,727395.8333333334
208011169,1200000.0,1312500.0,1300000.0,1325000.0,1250000.0,1175000.0,1200000.0,1175000.0,1350000.0,1275000.0,1295000.0,1350000.0,1267291.6666666667
208011170,725000.0,750000.0,731000.0,736250.0,725000.0,720000.0,725000.0,720750.0,745000.0,725000.0,725000.0,750000.0,731500.0
208011171,450000.0,450000.0,450000.0,450000.0,452500.0,450000.0,450000.0,450000.0,450000.0,452500.0,451250.0,450000.0,450520.8333333333
208011172,627500.0,661500.0,625000.0,635000.0,625000.0,640000.0,630000.0,622500.0,630000.0,615000.0,620000.0,650000.0,631791.6666666666
208011173,750000.0,797500.0,760750.0,758125.0,740000.0,725000.0,725000.0,735000.0,775000.0,750000.0,750000.0,790000.0,754697.9166666666
