SA2_MAINCODE_2011,2011_1,2011_2,2011_3,2011_4,2011_5,2011_6,2011_7,2011_8,2011_9,2011_10,2011_11,2011_12,mean_2011
206011105,640000.0,620000.0,620000.0,630000.0,654500.0,650000.0,650000.0,635000.0,625000.0,635000.0,640000.0,619000.0,634875.0
206011106,655000.0,620000.0,640000.0,655000.0,650000.0,650000.0,652500.0,659500.0,650000.0,655000.0,657000.0,620000.0,647000.0
206011107,615000.0,650000.0,650000.0,600000.0,640000.0,600000.0,625000.0,602500.0,640000.0,620000.0,610000.0,645000.0,624791.6666666666
206011108,599500.0,595000.0,595000.0,595000.0,595000.0,600000.0,595000.0,600000.0,600000.0,600000.0,600000.0,595000.0,597458.3333333334
206011109,617500.0,610000.0,600000.0,620000.0,630000.0,622500.0,630000.0,620000.0,618750.0,617500.0,630000.0,582500.0,616562.5
206021110,739500.0,750000.0,745000.0,750000.0,729000.0,739000.0,730000.0,760000.0,749500.0,744500.0,750000.0,750000.0,744708.3333333334
206021111,729000.0,700000.0,700000.0,732500.0,700000.0,730000.0,710000.0,735000.0,720000.0,725000.0,735000.0,710000.0,718875.0
206021112,680000.0,685000.0,695000.0,680000.0,640000.0,650000.0,650000.0,667500.0,690000.0,689500.0,663500.0,679000.0,672458.3333333334
206031113,750000.0,705000.0,715000.0,746000.0,735000.0,745000.0,736000.0,746000.0,729000.0,750000.0,750000.0,707500.0,734541.6666666666
206031114,842500.0,865000.0,847500.0,840000.0,825000.0,842500.0,830000.0,842500.0,850000.0,845000.0,850000.0,842500.0,843541.6666666666
206031115,589500.0,600000.0,600000.0,600000.0,595000.0,570000.0,590000.0,595000.0,575000.0,572500.0,570000.0,609000.0,588833.3333333334
206031116,800000.0,800000.0,800000.0,800000.0,775000.0,800000.0,777500.0,802500.0,800000.0,812500.0,820000.0,800000.0,798958.3333333334
206041117,515000.0,489975.0,489975.0,550000.0,579000.0,550000.0,589500.0,550000.0,489975.0,480000.0,535000.0,499950.0,526531.25
206041118,1500000.0,1100000.0,1100000.0,1495000.0,1300000.0,1400000.0,1295000.0,1490000.0,1290000.0,1490000.0,1400000.0,1100000.0,1330000.0
206041119,1372500.0,1925000.0,2150000.0,1545000.0,1620000.0,1620000.0,1597500.0,1500000.0,1700000.0,1575000.0,1575000.0,2850000.0,1752500.0
206041120,616952.3832116788,615247.352189781,615784.4616788321,617221.246350365,606425.2299270073,613777.4032846715,608206.2682481752,616112.8467153285,617471.0529197081,618543.6843065694,615230.0857664234,617169.4689781022,614845.1236313869
206041121,610000.0,630000.0,629500.0,605000.0,590000.0,600000.0,580000.0,600000.0,630000.0,629000.0,600000.0,649000.0,612708.3333333334
206041122,297000.0,274200.0,277450.0,280400.0,335000.0,299975.0,299950.0,280400.0,290000.0,295000.0,300000.0,251700.0,290089.5833333333
206041123,720000.0,710000.0,699000.0,700000.0,700000.0,707000.0,700000.0,714500.0,700000.0,700000.0,702500.0,709500.0,705208.3333333334
206041124,1050000.0,1050000.0,1050000.0,1050000.0,998750.0,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0,1045729.1666666666
206041125,1750000.0,1975000.0,1925000.0,1627500.0,1625000.0,1550000.0,1475000.0,1750000.0,1800000.0,1705000.0,1750000.0,2050000.0,1748541.6666666667
206041126,572500.0,490000.0,500000.0,577500.0,689500.0,660000.0,689500.0,580000.0,550000.0,559000.0,624500.0,490000.0,581875.0
206041127,616952.3832116788,615247.352189781,615784.4616788321,617221.246350365,606425.2299270073,613777.4032846715,608206.2682481752,616112.8467153285,617471.0529197081,618543.6843065694,615230.0857664234,617169.4689781022,614845.1236313869
206051128,1600000.0,1600000.0,1600000.0,1650000.0,1300000.0,1450000.0,1375000.0,1450000.0,1600000.0,1625000.0,1450000.0,1600000.0,1525000.0
206051129,1050000.0,1125000.0,1112500.0,1050000.0,1075000.0,1050000.0,1050000.0,1050000.0,1080000.0,1050000.0,1050000.0,1162500.0,1075416.6666666667
