2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,SA2_2016_A,Average,Disinvested
144.00008385587697,340.9999543912744,358.00006074281407,478.999842226044,649.9998032726088,619.9998358471252,306.9998079231175,404.0000028690672,273.9999195740718,307.0004379590196,470.9997476557159,206011105,395.90904511970325,False
144.00005837209173,340.9993481869157,357.9996754154838,478.9996019291854,649.9992070398291,620.0000701703543,155.99992873464407,451.99990120853903,227.00001346644717,672.999358987412,277.99991339525405,206011106,397.99973426419604,False
144.20810107718512,341.275985655917,358.28395253942256,479.3541033272063,650.1886194611207,621.0451080426433,92.04882753895774,60.213737724406805,61.51408357226001,401.9539155989824,149.28745475305175,206011107,305.39762629919574,False
293.99930448056364,260.9993551764792,464.998659540834,188.0012999781188,280.0001997736384,276.0003415780661,76.00003333025226,93.00002067600651,154.00003694542812,252.000041347822,184.00009887026945,206011108,229.36358106340714,True
293.97545912302485,261.1029584270865,464.9788253675322,188.20665395887897,280.09503653920024,276.357147181257,37.0543252867116,27.12492661957285,47.2650351194969,166.1054014921203,134.15206407515836,206011109,197.85616665363997,True
188.13372422799037,152.14541687712085,261.1422267421069,345.83584624082187,265.0592858941,288.0506688558746,31.000213222640298,42.00025514107898,42.00009572184041,194.9997807733108,49.000081557237706,206021110,169.03341775037478,True
187.99300513892376,152.00254567686352,260.9997733450582,346.00520633872657,265.0317902388342,288.0623291735683,92.99986929679362,440.9992832586808,257.9996287964616,293.99991272690534,209.9997121167527,206021111,254.19027782796076,False
188.0228980588572,152.0238301366171,261.03277597158376,345.9752719767393,265.01101991929136,288.0067275189549,56.00161197958977,118.00053296030276,126.00205585898652,185.0023725929966,206.0039581614496,206021112,199.1893686486699,True
250.003519187925,447.00857665684026,427.013874750853,561.017587869759,451.039222691094,921.044237008977,44.99868489846894,93.99822750533328,191.99397632623703,176.99456657963728,135.99590578332533,206031113,336.46439811440456,False
250.00080240813,446.933907342143,427.0031810265707,560.8822562566813,450.97276231490105,920.7783961842,136.94926673985103,256.83835009590206,534.6299399983129,359.963733588076,413.7910292891323,206031114,432.61305684035455,False
250.00014437785975,447.0003755466911,427.0005946445485,561.00076476917,451.0016804996653,921.0019327758754,14.015936648603985,12.014296303549436,22.028392472960757,350.03538177617975,30.013865189716377,206031115,316.828487727711,False
249.9992865888079,446.999272762225,426.9995295061493,560.999431787704,451.0013396610817,920.9979371217646,79.00033644965214,104.00043254734584,139.0012269718207,170.00230766724252,203.00057294959825,206031116,341.0910612739447,False
354.9984092133375,722.9962963650812,867.9959281799958,1127.995150927627,1707.9926110510771,2360.9908217285947,242.0027006531336,1054.0003438348822,156.00292449943245,638.0044953365682,144.0023804710504,206041117,852.4529147509801,False
1.622448871202394,611.511709339856,521.5904638412023,868.192675992551,161.10220207460296,2258.4705167870206,732.6367810150672,204.06331532423272,653.9977844678165,1695.2175277994284,1164.6534196366165,206041118,806.6417131954179,False
354.9993557335528,722.9982617278733,867.9980900060319,1127.9972397905983,1707.99589087509,2360.9953570079733,8.00485629596408,0.0008717003514389,4.003597314547325,233.00090864433736,281.0066448119353,206041119,697.1819158098413,False
354.99970325479023,722.9991356937122,867.9986417363446,1127.998221968453,1707.9960903883032,2360.995433625784,5.601285018386193e-05,0.0001179320207782,6.033272974903525e-05,9.240759520778852e-05,0.0001729486831756,206041120,649.3625205728423,False
319.33780703834054,629.2593254695687,718.2187327722464,935.4240614456596,1281.0724450260868,1871.918234323862,82.00003613801316,17.00011182036461,17.000110099988227,24.000205664743905,45.00012719444045,206041121,540.021017908483,False
68.07324206829071,139.420503699086,685.6312136973911,443.10453844770007,435.4717321331302,1804.1678632092876,2395.999049321551,1779.9992414971166,2418.9990438234936,4275.998337881315,2001.999370309729,206041122,1495.3512850989173,False
342.13071503425647,689.1721920054986,813.9490534384032,1058.5059266581268,1553.9364116779511,2184.507149547541,384.0081722198656,344.0069390595616,682.0059939911063,1185.0114370035512,352.00650160892707,206041123,871.7491356586171,False
354.63650220140335,722.3411732116892,867.1197843194259,1126.8798328691971,1706.1710215949151,2357.9957336709103,176.9999349130597,59.000925151506166,2.000324556957388,233.0007464159911,85.00019672464984,206041124,699.1951068754278,False
354.9999765557409,722.9980218998178,867.9971340370633,1127.995145374459,1707.9929579673644,2360.993429260764,6.000444485000287,58.00009403475279,7.00159010624084,384.9989186143379,264.0013467010473,206041125,714.8162780942353,False
156.2494417404802,660.1060174002232,672.8840119594978,981.246772472306,837.0128260284745,2302.447636720208,1710.5228223200772,206.94305844362327,1239.860349576708,348.88044286458927,2839.2766459564064,206041126,1086.8572750438723,False
327.6093301339012,714.3583518843088,841.1493432065113,1107.8619233693082,1588.0980865493486,2353.0524527300377,56.78820240686592,15.817405467137547,50.69225917645013,131.3984514361733,90.2740687418034,206041127,661.5545341001679,False
384.6355485863037,434.6627691709232,450.5496296006477,162.16855744416898,327.1573717736956,978.043938342042,11.005137527965111,12.00104556747871,335.99851025062253,7.001577064626682,573.9999457718875,206051128,334.2930937363965,False
233.9999811910328,294.999943177358,263.9999817988197,230.99993560082464,390.99978498428266,994.998900762292,67.00003892403598,30.00005371265931,111.00004225201938,50.000097034523634,78.0000510204575,206051129,249.63625549620963,False
384.9236973829102,435.732598420931,452.0607374245301,164.4572279099375,330.51287145446986,981.5179735778364,92.78235952651237,125.68596290358884,56.86062234544204,47.88090749165048,53.61832118217082,206051130,284.18484360181634,False
