SA2_MAINCODE_2016,SA2_NAME_2016,SA2_5DIGITCODE_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,GCCSA_CODE_2016,GCCSA_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
211051282,Mount Dandenong - Olinda,21282,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,81.8992
211051283,Mount Evelyn,21283,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,16.9894
211051284,Upwey - Tecoma,21284,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,8.8907
211051285,Wandin - Seville,21285,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,111.7555
211051286,Yarra Valley,21286,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,729.7582
212011287,Beaconsfield - Officer,21287,21201,Cardinia,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,41.1778
212011288,Bunyip - Garfield,21288,21201,Cardinia,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,373.1113
212011289,Emerald - Cockatoo,21289,21201,Cardinia,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,371.6241
212011290,Koo Wee Rup,21290,21201,Cardinia,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,409.4351
212011291,Pakenham - North,21291,21201,Cardinia,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,37.2213
212011292,Pakenham - South,21292,21201,Cardinia,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,49.7574
212021293,Berwick - North,21293,21202,Casey - North,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,19.748
212021294,Berwick - South,21294,21202,Casey - North,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,14.8552
212021295,Doveton,21295,21202,Casey - North,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,5.1934
212021297,Hallam,21297,21202,Casey - North,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,8.0565
212021299,Narre Warren North,21299,21202,Casey - North,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,34.4086
212021453,Endeavour Hills - North,21453,21202,Casey - North,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,14.4746
212021454,Endeavour Hills - South,21454,21202,Casey - North,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,5.5873
212021455,Narre Warren - North East,21455,21202,Casey - North,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,4.874
212021456,Narre Warren - South West,21456,21202,Casey - North,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,9.3054
212031300,Cranbourne,21300,21203,Casey - South,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,13.027
212031301,Cranbourne East,21301,21203,Casey - South,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,42.8901
212031302,Cranbourne North,21302,21203,Casey - South,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,10.2394
212031303,Cranbourne South,21303,21203,Casey - South,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,81.6623
212031304,Cranbourne West,21304,21203,Casey - South,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,12.8981
212031305,Hampton Park - Lynbrook,21305,21203,Casey - South,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,13.3423
212031306,Lynbrook - Lyndhurst,21306,21203,Casey - South,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,7.3581
212031308,Pearcedale - Tooradin,21308,21203,Casey - South,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,98.5112
212031457,Narre Warren South (East),21457,21203,Casey - South,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,6.2204
212031458,Narre Warren South (West),21458,21203,Casey - South,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,6.777
212041309,Clarinda - Oakleigh South,21309,21204,Dandenong,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,6.3227
212041310,Clayton South,21310,21204,Dandenong,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,7.938
212041311,Dandenong,21311,21204,Dandenong,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,61.8243
212041312,Dandenong North,21312,21204,Dandenong,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,9.459
212041313,Dingley Village,21313,21204,Dandenong,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,7.2437
212041314,Keysborough,21314,21204,Dandenong,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,30.2794
212041316,Noble Park North,21316,21204,Dandenong,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,3.7574
212041317,Springvale,21317,21204,Dandenong,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,11.1052
212041318,Springvale South,21318,21204,Dandenong,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,4.56
212041459,Noble Park - East,21459,21204,Dandenong,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,3.7671
212041460,Noble Park - West,21460,21204,Dandenong,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,4.7945
212051319,Ashwood - Chadstone,21319,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,6.7087
212051320,Clayton,21320,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,9.4112
212051321,Glen Waverley - East,21321,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,9.1645
212051322,Glen Waverley - West,21322,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,7.6758
212051323,Mount Waverley - North,21323,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,6.484
212051324,Mount Waverley - South,21324,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,8.7006
212051325,Mulgrave,21325,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,10.7189
212051326,Oakleigh - Huntingdale,21326,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,10.1702
212051327,Wheelers Hill,21327,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,10.4394
213011328,Ardeer - Albion,21328,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,4.5883
213011329,Cairnlea,21329,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,4.4061
213011330,Deer Park - Derrimut,21330,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,21.3348
213011331,Delahey,21331,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,3.5055
213011332,Keilor Downs,21332,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,7.6597
213011333,Kings Park (Vic.),21333,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,4.4323
213011334,St Albans - North,21334,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,6.5225
213011335,St Albans - South,21335,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,6.2647
213011336,Sunshine,21336,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,4.732
213011337,Sunshine North,21337,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,8.0239
213011338,Sunshine West,21338,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,12.9688
213011339,Sydenham,21339,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,3.9479
213011340,Taylors Lakes,21340,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,18.4632
213021341,Altona,21341,21302,Hobsons Bay,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,17.6847
213021342,Altona Meadows,21342,21302,Hobsons Bay,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,10.5398
213021343,Altona North,21343,21302,Hobsons Bay,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,16.1844
213021344,Newport,21344,21302,Hobsons Bay,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,8.8407
213021345,Seabrook,21345,21302,Hobsons Bay,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,1.6199
213021346,Williamstown,21346,21302,Hobsons Bay,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,7.3463
213031347,Braybrook,21347,21303,Maribyrnong,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,7.4842
213031348,Footscray,21348,21303,Maribyrnong,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,4.967
213031349,Maribyrnong,21349,21303,Maribyrnong,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,5.4934
213031350,Seddon - Kingsville,21350,21303,Maribyrnong,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,1.6803
213031351,West Footscray - Tottenham,21351,21303,Maribyrnong,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,5.9807
213031352,Yarraville,21352,21303,Maribyrnong,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,5.6198
213041353,Bacchus Marsh,21353,21304,Melton - Bacchus Marsh,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,196.2984
213041355,Hillside,21355,21304,Melton - Bacchus Marsh,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,66.5481
213041356,Melton,21356,21304,Melton - Bacchus Marsh,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,130.7052
213041357,Melton South,21357,21304,Melton - Bacchus Marsh,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,110.9612
213041358,Melton West,21358,21304,Melton - Bacchus Marsh,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,24.2021
213041359,Rockbank - Mount Cottrell,21359,21304,Melton - Bacchus Marsh,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,125.7608
213041360,Taylors Hill,21360,21304,Melton - Bacchus Marsh,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,5.9679
213041461,Burnside,21461,21304,Melton - Bacchus Marsh,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,2.552
213041462,Burnside Heights,21462,21304,Melton - Bacchus Marsh,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,1.9953
213041463,Caroline Springs,21463,21304,Melton - Bacchus Marsh,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,6.9526
213051361,Hoppers Crossing - North,21361,21305,Wyndham,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,10.9136
213051362,Hoppers Crossing - South,21362,21305,Wyndham,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,7.0114
213051363,Laverton,21363,21305,Wyndham,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,22.2451
213051365,Tarneit,21365,21305,Wyndham,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,62.142
213051366,Truganina,21366,21305,Wyndham,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,27.1648
213051368,Werribee - South,21368,21305,Wyndham,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,114.0334
213051369,Wyndham Vale,21369,21305,Wyndham,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,128.2408
213051464,Point Cook - East,21464,21305,Wyndham,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,19.0355
213051465,Point Cook - North,21465,21305,Wyndham,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,8.4906
213051466,Point Cook - South,21466,21305,Wyndham,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,9.4222
213051467,Werribee - East,21467,21305,Wyndham,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,7.7569
213051468,Werribee - West,21468,21305,Wyndham,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,127.6632
214011370,Carrum Downs,21370,21401,Frankston,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,20.3079
214011371,Frankston,21371,21401,Frankston,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,11.6244
214011372,Frankston North,21372,21401,Frankston,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,13.2383
214011373,Frankston South,21373,21401,Frankston,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,14.5602
214011374,Langwarrin,21374,21401,Frankston,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,37.6199
214011375,Seaford (Vic.),21375,21401,Frankston,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,12.4321
214011376,Skye - Sandhurst,21376,21401,Frankston,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,19.8152
214021377,Dromana,21377,21402,Mornington Peninsula,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,45.0575
214021378,Flinders,21378,21402,Mornington Peninsula,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,287.3793
214021379,Hastings - Somers,21379,21402,Mornington Peninsula,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,108.884
214021380,Mornington,21380,21402,Mornington Peninsula,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,21.0928
214021381,Mount Eliza,21381,21402,Mornington Peninsula,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,23.2077
214021382,Mount Martha,21382,21402,Mornington Peninsula,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,30.2094
214021383,Point Nepean,21383,21402,Mornington Peninsula,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,67.1875
214021384,Rosebud - McCrae,21384,21402,Mornington Peninsula,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,23.7957
214021385,Somerville,21385,21402,Mornington Peninsula,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,117.354
