SA2_MAINCODE_2011,SA2_NAME_2011,SA2_5DIGITCODE_2011,SA3_CODE_2011,SA3_NAME_2011,SA4_CODE_2011,SA4_NAME_2011,GCCSA_CODE_2011,GCCSA_NAME_2011,STATE_CODE_2011,STATE_NAME_2011,AREA_ALBERS_SQM
207011152,Hawthorn East,21152,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,3825039.331
207011153,Kew,21153,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,10533250.53
207011154,Kew East,21154,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,4015648.26
207011155,Surrey Hills (West) - Canterbury,21155,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5702580.675
207021156,Bulleen,21156,20702,Manningham - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,6671084.058
207021157,Doncaster,21157,20702,Manningham - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,8774365.131
207021158,Doncaster East,21158,20702,Manningham - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,11171984.04
207021159,Templestowe,21159,20702,Manningham - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,16117236.64
207021160,Templestowe Lower,21160,20702,Manningham - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5938192.63
207031161,Blackburn,21161,20703,Whitehorse - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,8607183.87
207031162,Blackburn South,21162,20703,Whitehorse - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,3596733.056
207031163,Box Hill,21163,20703,Whitehorse - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,7012380.416
207031164,Box Hill North,21164,20703,Whitehorse - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,6208363.638
207031165,Burwood,21165,20703,Whitehorse - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5039198.895
207031166,Burwood East,21166,20703,Whitehorse - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,4262350.459
207031167,Surrey Hills (East) - Mont Albert,21167,20703,Whitehorse - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,3327952.117
208011168,Beaumaris,21168,20801,Bayside,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,5967998.741
208011169,Brighton (Vic.),21169,20801,Bayside,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,8200495.86
208011170,Brighton East,21170,20801,Bayside,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,5607861.494
208011171,Cheltenham - Highett (West),21171,20801,Bayside,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,5319563.046
208011172,Hampton,21172,20801,Bayside,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,5685143.527
208011173,Sandringham - Black Rock,21173,20801,Bayside,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,6429836.464
208021174,Bentleigh - McKinnon,21174,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,6224685.232
208021175,Bentleigh East,21175,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,9187105.961
208021176,Carnegie,21176,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,3804657.494
208021177,Caulfield - North,21177,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,6419201.208
208021178,Caulfield - South,21178,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,4742288.993
208021179,Elsternwick,21179,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,2861748.758
208021180,Hughesdale,21180,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,2009681.194
208021181,Murrumbeena,21181,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,2514777.272
208021182,Ormond - Glen Huntly,21182,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,2936924.806
208031183,Aspendale Gardens - Waterways,21183,20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,5307110.663
208031184,Braeside,21184,20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,9081956.98
208031185,Carrum - Patterson Lakes,21185,20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,5824930.275
208031186,Chelsea - Bonbeach,21186,20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,5423060.056
208031187,Chelsea Heights,21187,20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,3195474.236
208031188,Cheltenham - Highett (East),21188,20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,8736859.944
208031189,Edithvale - Aspendale,21189,20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,5100410.631
208031190,Mentone,21190,20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,4449583.371
208031191,Moorabbin - Heatherton,21191,20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,11699683.8
208031192,Moorabbin Airport,21192,20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,3075571.037
208031193,Mordialloc - Parkdale,21193,20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,7967882.985
208041194,Malvern - Glen Iris,21194,20804,Stonnington - East,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,6156777.585
208041195,Malvern East,21195,20804,Stonnington - East,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,7567914.803
209011196,Bundoora - East,21196,20901,Banyule,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,4075082.34
209011197,Greensborough,21197,20901,Banyule,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,10097083.92
209011198,Heidelberg - Rosanna,21198,20901,Banyule,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,6371997.862
209011199,Heidelberg West,21199,20901,Banyule,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,6691113.743
209011200,Ivanhoe,21200,20901,Banyule,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,5050326.731
209011201,Ivanhoe East - Eaglemont,21201,20901,Banyule,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,4277669.961
209011202,Montmorency - Briar Hill,21202,20901,Banyule,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,12027782.19
209011203,Viewbank - Yallambie,21203,20901,Banyule,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,10238573.14
209011204,Watsonia,21204,20901,Banyule,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,3785595.729
209021205,Kingsbury,21205,20902,Darebin - North,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,9009092.007
209021206,Preston,21206,20902,Darebin - North,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,11312732.84
209021207,Reservoir - East,21207,20902,Darebin - North,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,8966624.337
209021208,Reservoir - West,21208,20902,Darebin - North,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,10155327.94
209031209,Eltham,21209,20903,Nillumbik - Kinglake,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,19487474.92
209031210,Hurstbridge,21210,20903,Nillumbik - Kinglake,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,14841898.55
209031211,Kinglake,21211,20903,Nillumbik - Kinglake,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,319504410.4
209031212,Panton Hill - St Andrews,21212,20903,Nillumbik - Kinglake,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,292198115
209031213,Plenty - Yarrambat,21213,20903,Nillumbik - Kinglake,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,29117040.11
209031214,Research - North Warrandyte,21214,20903,Nillumbik - Kinglake,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,49795034.77
