,STOP_ID,STOP_NAME,ROUTEUSSP
102,18448,33-Hornby St/Dandenong Rd (Windsor),"64,5"
103,18449,32-Chapel St/Dandenong Rd (Windsor),"64,5"
104,18450,115-Casino East/Queens Bridge St (Southbank),58
105,18451,64-Darling Rd/Waverley Rd (Malvern East),3/3a
106,18452,63-Hughes St/Waverley Rd (Malvern East),3/3a
107,18453,62-Macgregor St/Waverley Rd (Malvern East),3/3a
108,18454,61-Tennyson St/Waverley Rd (Malvern East),3/3a
109,18455,60-Burke Rd/Waverley Rd (Malvern East),3/3a
110,18456,59-Dandenong Rd/Waverley Rd (Caulfield East),3/3a
111,18457,57-Caulfield Railway Station/Derby Rd (Caulfield East),3/3a
112,18459,56-Caulfield Racecourse/Normanby Rd (Caulfield East),3/3a
113,18460,55-Balaclava Rd/Normanby Rd (Caulfield East),3/3a
114,18461,54-Kambrook Rd/Balaclava Rd (Caulfield East),3/3a
115,18462,53-Caulfield Park/Balaclava Rd (Caulfield North),3/3a
116,18463,52-Caulfield Park Bowling Club/Balaclava Rd (Caulfield North),3/3a
117,18464,51-Hawthorn Rd/Balaclava Rd (Caulfield North),3/3a
118,18465,1-Flinders St/Queens Bridge St (Melbourne City),58
119,18466,2-Flinders Lane/Market St (Melbourne City),58
120,18467,3-William St/Flinders Lane (Melbourne City),58
121,18468,47-Caulfield Junior College/Balaclava Rd (Caulfield North),"3/3a,16"
122,18469,4-Collins St/William St (Melbourne City),58
123,18479,50-Wharton St/Whitehorse Rd (Surrey Hills),109
124,18481,22-Dorcas St/Eastern Rd (South Melbourne),1
125,18482,23-Moray St/Park St (South Melbourne),1
126,18483,24-Clarendon St/Park St (South Melbourne),1
127,18484,25-Cecil St/Park St (South Melbourne),1
128,18485,41-Maribyrnong Park/Maribyrnong Rd (Ascot Vale),"82,57"
129,18486,42-Clyde St/Raleigh Rd (Maribyrnong),"82,57"
130,18487,43-Van Ness Ave/Raleigh Rd (Maribyrnong),"82,57"
131,18488,44-Warrs Rd/Raleigh Rd (Maribyrnong),"82,57"
132,18489,45-Maribyrnong Community Centre/Raleigh Rd (Maribyrnong),"82,57"
133,18490,46-Rosamond Rd/Raleigh Rd (Maribyrnong),"82,57"
134,18491,48-Wests Rd/Raleigh Rd (Maribyrnong),"82,57"
135,18492,49-Highpoint Shopping Centre/Wests Rd (Maribyrnong),82
136,18493,50-Williamson Rd/Wests Rd (Maribyrnong),82
