,Stations,Degree,Betweenness,Closeness
0,1,0.08270676691729323,0.23379264131344848,0.08476736775015933
1,3,0.03007518796992481,0.008189131822077823,0.07935560859188544
2,4,0.03007518796992481,0.058967902080362386,0.0834378920953576
3,7,0.03759398496240601,0.08157184723969342,0.08597285067873303
4,8,0.045112781954887216,0.05974459959422364,0.08412397216951296
5,10,0.03759398496240601,0.015408109017131575,0.08199753390875462
6,11,0.022556390977443608,0.0004018433529711725,0.07983193277310924
7,13,0.03007518796992481,0.007602339181286551,0.08380592312539382
8,14,0.03759398496240601,0.1385237508081382,0.09097127222982217
9,17,0.03759398496240601,0.14579097189114892,0.09446022727272728
10,19,0.03759398496240601,0.02947397024635575,0.09513590844062947
11,20,0.03007518796992481,0.016250373572656553,0.09178743961352658
12,22,0.03759398496240601,0.28703267276655975,0.09326788218793829
13,23,0.03759398496240601,0.28446477377863305,0.09658678286129267
14,24,0.015037593984962405,0.0,0.09261838440111421
15,25,0.03759398496240601,0.28190379143296185,0.09757887013939838
16,26,0.022556390977443608,0.0014682268441666925,0.08974358974358974
17,27,0.03759398496240601,0.019080547496172114,0.09547738693467336
18,29,0.045112781954887216,0.45083067541452826,0.10121765601217655
19,30,0.03007518796992481,0.10337102628978709,0.09765051395007342
20,31,0.022556390977443608,0.47885371852090086,0.10098709187547457
21,32,0.022556390977443608,0.4771449010226097,0.09984984984984985
22,33,0.022556390977443608,0.12547025987428465,0.0953405017921147
23,34,0.03007518796992481,0.4604693552061973,0.09786607799852833
24,35,0.015037593984962405,0.0,0.09204152249134948
25,36,0.022556390977443608,0.45112781954887216,0.095
26,37,0.015037593984962405,0.44611528822055135,0.09210526315789473
27,38,0.022556390977443608,0.4408749145591251,0.08926174496644296
28,39,0.015037593984962405,0.0,0.08417721518987342
29,40,0.03007518796992481,0.429710640236956,0.08641975308641975
30,41,0.015037593984962405,0.0,0.0815450643776824
31,42,0.022556390977443608,0.41763499658236497,0.0835427135678392
32,43,0.015037593984962405,0.41125541125541126,0.08070388349514564
33,44,0.03007518796992481,0.40555935292777395,0.0779601406799531
34,45,0.022556390977443608,0.006446039340776166,0.0726379027853632
35,46,0.03007518796992481,0.00735740867319813,0.07388888888888889
36,47,0.03007518796992481,0.010661122503227765,0.07022175290390707
37,51,0.03007518796992481,0.00455684666210982,0.06768447837150127
38,52,0.022556390977443608,0.001594896331738437,0.06758130081300813
39,53,0.03007518796992481,0.3401780967570441,0.0722041259500543
40,54,0.015037593984962405,0.31692868534973795,0.0691987513007284
41,55,0.015037593984962405,0.30758714969241285,0.06636726546906188
42,56,0.015037593984962405,0.29801777170198224,0.06369731800766283
43,57,0.015037593984962405,0.2882205513784461,0.06117755289788408
44,58,0.022556390977443608,0.2781954887218045,0.058797524314765696
45,59,0.015037593984962405,0.0,0.05604719764011799
46,60,0.022556390977443608,0.25746183640920484,0.056523586910327245
47,61,0.015037593984962405,0.24675324675324675,0.05435226808336739
48,62,0.015037593984962405,0.23581681476418317,0.05230043255996854
49,63,0.015037593984962405,0.2246525404420141,0.050359712230215826
50,64,0.015037593984962405,0.21326042378673957,0.04852243706676396
51,50,0.022556390977443608,0.0003227766385661122,0.0667001003009027
52,49,0.022556390977443608,0.011430090377458799,0.07014767932489452
53,48,0.045112781954887216,0.3773069036226927,0.07518371961560204
54,21,0.015037593984962405,0.0,0.08625162127107652
55,18,0.03007518796992481,0.17037487606322782,0.09743589743589744
56,16,0.03007518796992481,0.010981729214811935,0.09261838440111421
57,15,0.03007518796992481,0.012411032993739732,0.08837209302325581
58,12,0.03007518796992481,0.010605382503878744,0.08412397216951296
59,6,0.03007518796992481,0.02679046100098732,0.07987987987987988
60,5,0.03007518796992481,0.012080341778584705,0.08139534883720931
